project,category,npv_musd,cost_musd,risk_score,strategic_fit,requires,mutually_exclusive_with,committed
P001,Growth,7.3,9.3,48.9,65.8,P106,P002,
P002,Growth,34.4,42.1,64.0,44.1,P107,P001,
P003,Growth,21.1,19.1,53.4,64.7,P108,P004,
P004,Growth,55.6,36.3,53.2,79.6,P109,P003,
P005,Growth,40.0,44.2,47.0,43.1,P110,P006,
P006,Growth,22.4,28.3,37.1,70.5,P111,P005,
P007,Growth,25.4,23.2,59.6,80.0,,P008,
P008,Growth,14.9,10.1,52.5,58.6,,P007,
P009,Growth,2.1,5.4,39.6,60.7,,P010,
P010,Growth,39.5,32.6,61.3,59.7,,P009,
P011,Growth,38.2,22.8,59.8,83.4,,,
P012,Growth,29.8,28.1,33.8,74.9,,,
P013,Growth,4.9,5.0,54.8,74.8,,,
P014,Growth,1.3,6.5,60.9,62.7,,,
P015,Growth,10.2,11.8,62.6,87.6,,,
P016,Growth,44.4,24.2,60.6,68.7,,,
P017,Growth,86.7,44.1,61.8,88.2,,,
P018,Growth,27.2,34.6,57.9,91.2,,,
P019,Growth,63.0,38.7,63.4,92.1,,,
P020,Growth,71.4,36.0,54.8,67.1,,,
P021,Growth,31.7,22.2,53.9,66.9,,,
P022,Growth,8.2,18.7,52.7,49.8,,,
P023,Growth,6.8,18.6,55.8,63.5,,,
P024,Growth,14.8,24.4,45.1,60.9,,,
P025,Growth,6.8,8.7,50.8,72.7,,,
P026,Growth,14.0,18.4,50.0,74.6,,,
P027,Growth,1.9,8.7,47.9,78.1,,,
P028,Growth,19.5,32.7,67.2,68.4,,,
P029,Growth,10.9,23.1,41.4,62.3,,,
P030,Growth,31.4,35.2,31.9,69.0,,,
P031,Digital,23.5,20.0,37.3,61.9,P112,,
P032,Digital,16.8,13.8,70.6,60.5,P113,,
P033,Digital,39.2,36.8,51.5,74.8,P114,,
P034,Digital,27.2,14.6,58.6,61.5,P115,,
P035,Digital,-3.4,5.2,54.8,76.3,,,
P036,Digital,64.5,41.0,43.0,65.1,,,
P037,Digital,39.3,34.7,45.2,80.1,,,
P038,Digital,40.4,34.5,36.2,69.2,,,
P039,Digital,1.0,6.6,32.2,60.2,,,
P040,Digital,42.8,24.3,45.1,50.2,,,
P041,Digital,6.8,7.7,51.5,51.7,,,
P042,Digital,10.0,9.6,48.1,85.3,,,
P043,Digital,42.8,25.0,43.5,80.8,,,
P044,Digital,43.6,22.9,31.9,77.1,,,
P045,Digital,8.8,8.9,53.4,65.6,,,
P046,Digital,7.3,15.8,47.3,57.6,,,
P047,Digital,23.7,20.6,33.7,83.6,,,
P048,Digital,24.5,18.9,41.8,45.2,,,
P049,Digital,26.1,19.8,48.6,80.0,,,
P050,Digital,31.3,22.5,27.3,68.9,,,
P051,R&D,54.3,42.1,98.0,54.2,,P052,
P052,R&D,20.2,27.6,90.6,54.6,,P051,
P053,R&D,13.8,22.4,70.6,68.5,,P054,
P054,R&D,18.7,19.3,96.5,42.5,,P053,
P055,R&D,47.8,32.4,92.6,64.9,,P056,
P056,R&D,16.7,24.0,55.2,50.4,,P055,
P057,R&D,15.1,10.9,78.5,66.6,,P058,
P058,R&D,29.6,20.0,81.5,67.6,,P057,
P059,R&D,83.1,42.4,82.0,56.0,,P060,
P060,R&D,10.5,20.4,70.0,63.9,,P059,
P061,R&D,40.6,23.1,59.0,56.9,,,
P062,R&D,3.3,10.7,82.8,99.0,,,
P063,R&D,43.1,21.1,80.3,34.6,,,
P064,R&D,11.3,13.3,97.6,50.1,,,
P065,R&D,54.8,40.4,67.2,59.5,,,
P066,R&D,22.4,19.8,68.9,63.0,,,
P067,R&D,49.5,29.6,44.6,58.0,,,
P068,R&D,17.0,22.1,98.0,73.0,,,
P069,R&D,83.7,37.7,82.1,78.1,,,
P070,R&D,35.3,20.9,80.3,58.9,,,
P071,Maintenance,4.2,6.9,5.0,59.2,,,
P072,Maintenance,1.2,20.6,27.3,50.2,,,
P073,Maintenance,-3.7,14.1,41.3,70.8,,,
P074,Maintenance,0.1,12.7,28.8,45.4,,,
P075,Maintenance,4.0,8.3,5.0,51.3,,,
P076,Maintenance,0.2,15.5,20.6,49.4,,,
P077,Maintenance,5.5,19.4,15.4,36.8,,,
P078,Maintenance,1.1,11.4,26.7,37.1,,,
P079,Maintenance,-1.0,21.3,29.4,27.3,,,
P080,Maintenance,12.9,32.0,5.0,51.1,,,
P081,Maintenance,18.5,33.1,26.4,66.9,,,
P082,Maintenance,13.7,42.0,13.0,52.6,,,
P083,Maintenance,10.0,25.2,19.3,55.5,,,
P084,Maintenance,3.1,29.8,33.9,62.8,,,
P085,Maintenance,3.6,11.6,18.6,58.3,,,
P086,Maintenance,6.9,25.0,5.0,47.3,,,
P087,Maintenance,10.3,22.9,21.1,21.7,,,
P088,Maintenance,7.2,16.9,43.8,35.4,,,
P089,Maintenance,25.2,42.6,37.6,51.9,,,
P090,Maintenance,12.3,22.4,17.8,58.1,,,
P091,Compliance,4.9,23.5,30.6,99.0,,,yes
P092,Compliance,12.0,40.8,13.6,80.7,,,yes
P093,Compliance,1.2,18.8,15.7,93.0,,,yes
P094,Compliance,0.3,18.8,46.7,95.1,,,
P095,Compliance,3.7,19.7,26.6,99.0,,,
P096,Compliance,-2.6,16.7,5.0,98.1,,,
P097,Compliance,4.6,38.1,27.5,63.4,,,
P098,Compliance,-1.2,30.0,29.9,79.1,,,
P099,Compliance,-3.6,13.9,21.8,68.6,,,
P100,Compliance,0.2,23.6,10.9,80.5,,,
P101,Compliance,-0.8,27.9,5.0,99.0,,,
P102,Compliance,-1.8,22.4,5.6,70.8,,,
P103,Compliance,-2.3,31.5,9.1,95.3,,,
P104,Compliance,2.1,44.0,14.6,83.4,,,
P105,Compliance,3.6,21.9,5.0,99.0,,,
P106,Efficiency,43.2,29.4,18.5,66.4,,,
P107,Efficiency,49.5,43.1,16.3,47.0,,,
P108,Efficiency,17.6,23.7,37.2,57.7,,,
P109,Efficiency,6.7,15.8,24.4,65.0,,,
P110,Efficiency,19.0,15.4,18.7,50.2,,,
P111,Efficiency,29.5,40.4,47.2,73.4,,,
P112,Efficiency,46.5,43.3,48.0,52.8,,,
P113,Efficiency,9.7,9.9,27.7,57.9,,,
P114,Efficiency,0.4,5.4,41.7,35.6,,,
P115,Efficiency,42.5,42.6,18.9,41.1,,,
P116,Efficiency,6.4,6.5,37.8,81.7,,,
P117,Efficiency,0.3,4.3,21.6,54.4,,,
P118,Efficiency,7.6,16.6,50.9,66.1,,,
P119,Efficiency,41.5,28.9,25.5,71.8,,,
P120,Efficiency,8.4,13.0,40.8,33.0,,,
